Set,RI1,RI2,RI3,RI4,RI5,RI6,RI7,RI8,RI9,RI10,RI11,RI12,RI13,RI14,RI15,RI16
181004S_X_FP64N,unused,carrier_u.l,carrier_u.h,unused,unused,sc_u.l,sc_u.l,sc_u.l,sc_u.h,sc_u.h,sc_u.h,unused,unused,unused,unused,unused
181024S_X_FP72E,unused,carrier_u,carrier_m0,unused,unused,sc_u,sc_u,sc_u,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
181024S_X_FP72F,unused,carrier_u,carrier_m0,unused,unused,sc_u,sc_u,sc_u,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
181024S_X_FP72G,unused,carrier_u,carrier_m0,unused,unused,sc_u,sc_u,sc_u,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
181024S_X_FP72H,unused,carrier_u,carrier_m0,unused,unused,sc_u,sc_u,sc_u,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
181024S_X_FP72M,unused,carrier_u,carrier_m0,unused,unused,sc_u,sc_u,sc_u,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
181024S_X_FP72N,unused,carrier_u,carrier_m0,unused,unused,sc_u,sc_u,sc_u,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
181024S_X_FP72O,unused,carrier_u,carrier_m0,unused,unused,sc_u,sc_u,sc_u,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
181024S_X_FP72P,unused,carrier_u,carrier_m0,unused,unused,sc_u,sc_u,sc_u,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
181026S_X_FP74A,carrier_mix,unused,unused,sc_u,norm,sc_u,sc_u,sc_m0,sc_m0,sc_m0,sc_0,unused,unused,unused,unused,unused
181026S_X_FP74B,carrier_mix,unused,unused,sc_u,norm,sc_u,sc_u,sc_m0,sc_m0,sc_m0,sc_0,unused,unused,unused,unused,unused
181026S_X_FP74C,carrier_mix,unused,unused,sc_u,norm,sc_u,sc_u,sc_m0,sc_m0,sc_m0,sc_0,unused,unused,unused,unused,unused
181026S_X_FP74D,carrier_mix,unused,unused,sc_u,norm,sc_u,sc_u,sc_m0,sc_m0,sc_m0,sc_0,unused,unused,unused,unused,unused
181026S_X_FP74E,carrier_mix,unused,unused,sc_u,norm,sc_u,sc_u,sc_m0,sc_m0,sc_m0,sc_0,unused,unused,unused,unused,unused
181026S_X_FP74F,carrier_mix,unused,unused,sc_u,norm,sc_u,sc_u,sc_m0,sc_m0,sc_m0,sc_0,unused,unused,unused,unused,unused
181026S_X_FP74G,carrier_mix,unused,unused,sc_u,norm,sc_u,sc_u,sc_m0,sc_m0,sc_m0,sc_0,unused,unused,unused,unused,unused
181026S_X_FP74H,carrier_mix,unused,unused,sc_u,norm,sc_u,sc_u,sc_m0,sc_m0,sc_m0,sc_0,unused,unused,unused,unused,unused
181026S_X_FP74I,carrier_mix,unused,unused,sc_u,norm,sc_u,sc_u,sc_m0,sc_m0,sc_m0,sc_0,unused,unused,unused,unused,unused
181026S_X_FP74J,carrier_mix,unused,unused,sc_u,norm,sc_u,sc_u,sc_m0,sc_m0,sc_m0,sc_0,unused,unused,unused,unused,unused
181026S_X_FP74K,carrier_mix,unused,unused,sc_u,norm,sc_u,sc_u,sc_m0,sc_m0,sc_m0,sc_0,unused,unused,unused,unused,unused
181026S_X_FP74L,carrier_mix,unused,unused,sc_u,norm,sc_u,sc_u,sc_m0,sc_m0,sc_m0,sc_0,unused,unused,unused,unused,unused
181026S_X_FP74M,carrier_mix,unused,unused,sc_u,norm,sc_u,sc_u,sc_m0,sc_m0,sc_m0,sc_0,unused,unused,unused,unused,unused
181026S_X_FP74N,carrier_mix,unused,unused,sc_u,norm,sc_u,sc_u,sc_m0,sc_m0,sc_m0,sc_0,unused,unused,unused,unused,unused
181101_X_FP75A,carrier_mix,unused,unused,sc_u,norm,sc_u,sc_u,sc_m0,sc_m0,sc_m0,sc_0,unused,unused,unused,unused,unused
181101_X_FP75C,carrier_mix,unused,unused,sc_u,norm,sc_u,sc_u,sc_m0,sc_m0,sc_m0,sc_0,unused,unused,unused,unused,unused
181101_X_FP75E,carrier_mix,unused,unused,sc_u,norm,sc_u,sc_u,sc_m0,sc_m0,sc_m0,sc_0,unused,unused,unused,unused,unused
181101_X_FP75G,carrier_mix,unused,unused,sc_u,norm,sc_u,sc_u,sc_m0,sc_m0,sc_m0,sc_0,unused,unused,unused,unused,unused
181115S_X_FP79A,carrier_mix,norm,unused,sc_m0,sc_m0,sc_m0,sc_m0,sc_0,sc_u,sc_0,sc_u,unused,unused,unused,unused,unused
181115S_X_FP79B_20181120000642,carrier_mix,norm,unused,sc_m0,sc_m0,sc_u,sc_u,sc_m0,sc_0,sc_m0,sc_m0,unused,unused,unused,unused,unused
181115S_X_FP79B,carrier_mix,norm,unused,sc_m0,sc_m0,sc_u,sc_u,sc_m0,sc_0,sc_m0,sc_m0,unused,unused,unused,unused,unused
181115S_X_FP79C,carrier_mix,norm,unused,sc_u,sc_m0,sc_m0,sc_0,sc_m0,sc_m0,sc_m0,sc_u,unused,unused,unused,unused,unused
181115S_X_FP79D,carrier_mix,norm,unused,sc_m0,sc_u,sc_m0,sc_0,sc_m0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
181115S_X_FP79E,carrier_mix,norm,unused,sc_u,sc_m0,sc_0,sc_m0,sc_m0,sc_m0,sc_u,sc_m0,unused,unused,unused,unused,unused
181115S_X_FP79F,carrier_mix,norm,unused,sc_m0,sc_m0,sc_m0,sc_m0,sc_u,sc_m0,sc_u,sc_m0,unused,unused,unused,unused,unused
181115S_X_FP79G,carrier_mix,norm,unused,sc_m0,sc_u,sc_m0,sc_m0,sc_m0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
181115S_X_FP79H,carrier_mix,norm,unused,sc_m0,sc_m0,sc_m0,sc_u,sc_m0,sc_u,sc_m0,sc_u,unused,unused,unused,unused,unused
181115S_X_FP79I,carrier_mix,norm,unused,sc_m0,sc_m0,sc_m0,sc_u,sc_0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
181115S_X_FP79J,carrier_mix,norm,unused,sc_m0,sc_m0,sc_u,sc_m0,sc_m0,sc_0,sc_u,sc_0,unused,unused,unused,unused,unused
181115S_X_FP79K,carrier_mix,norm,unused,sc_m0,sc_m0,sc_0,sc_m0,sc_m0,sc_u,sc_m0,sc_m0,unused,unused,unused,unused,unused
181115S_X_FP79L,carrier_mix,norm,unused,sc_m0,sc_m0,sc_m0,sc_m0,sc_m0,sc_u,sc_m0,sc_m0,unused,unused,unused,unused,unused
181115S_X_FP79M,carrier_mix,norm,unused,sc_m0,sc_0,sc_0,sc_u,sc_m0,sc_u,sc_m0,sc_u,unused,unused,unused,unused,unused
181115S_X_FP79N,carrier_mix,norm,unused,sc_u,sc_m0,sc_m0,sc_u,sc_u,sc_0,sc_m0,sc_u,unused,unused,unused,unused,unused
181115S_X_FP79O,carrier_mix,norm,unused,sc_0,sc_m0,sc_m0,sc_u,sc_u,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
181115S_X_FP79P,carrier_mix,norm,unused,sc_u,sc_m0,sc_m0,sc_u,sc_m0,sc_m0,sc_u,sc_m0,unused,unused,unused,unused,unused
181129S_X_FP79AA,carrier_mix,norm,unused,sc_m0,sc_m0,sc_0,sc_0,sc_u,sc_u,sc_u,sc_m0,unused,unused,unused,unused,unused
181129S_X_FP79AB,carrier_mix,norm,unused,sc_m0,sc_u,sc_u,sc_m0,sc_u,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
181129S_X_FP79AC,carrier_mix,norm,unused,sc_0,sc_u,sc_m0,sc_m0,sc_0,sc_u,sc_m0,sc_m0,unused,unused,unused,unused,unused
181129S_X_FP79AD,carrier_mix,norm,unused,sc_u,sc_m0,sc_m0,sc_0,sc_m0,sc_u,sc_m0,sc_m0,unused,unused,unused,unused,unused
181129S_X_FP79AE,carrier_mix,norm,unused,sc_u,sc_m0,sc_u,sc_m0,sc_0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
181129S_X_FP79AF,carrier_mix,norm,unused,sc_m0,sc_0,sc_m0,sc_0,sc_m0,sc_m0,sc_0,sc_0,unused,unused,unused,unused,unused
181129S_X_FP79AG,carrier_mix,norm,unused,sc_m0,sc_m0,sc_0,sc_m0,sc_m0,sc_m0,sc_m0,sc_u,unused,unused,unused,unused,unused
181129S_X_FP79AH,carrier_mix,norm,unused,sc_m0,sc_u,sc_0,sc_u,sc_m0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
181129S_X_FP79AI,carrier_mix,norm,unused,sc_m0,sc_m0,sc_u,sc_u,sc_u,sc_m0,sc_m0,sc_u,unused,unused,unused,unused,unused
181129S_X_FP79AJ,carrier_mix,norm,unused,sc_u,sc_m0,sc_m0,sc_u,sc_m0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
181129S_X_FP79AK,carrier_mix,norm,unused,sc_0,sc_m0,sc_m0,sc_u,sc_m0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
181129S_X_FP79AL,carrier_mix,norm,unused,sc_m0,sc_u,sc_m0,sc_0,sc_m0,sc_m0,sc_u,sc_u,unused,unused,unused,unused,unused
181129S_X_FP79AM,carrier_mix,norm,unused,sc_u,sc_0,sc_u,sc_m0,sc_m0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
181129S_X_FP79AN,carrier_mix,norm,unused,sc_u,sc_0,sc_u,sc_m0,sc_m0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
181129S_X_FP79AO,carrier_mix,norm,unused,sc_m0,sc_u,sc_0,sc_m0,sc_m0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
181129S_X_FP79AP,carrier_mix,norm,unused,sc_m0,sc_m0,sc_0,sc_m0,sc_u,sc_u,sc_m0,sc_m0,unused,unused,unused,unused,unused
181212_LCA1_X_FP81A,carrier_mix,norm,unused,sc_m0,sc_m0,sc_0,sc_m0,sc_u,sc_m0,sc_m0,sc_u,unused,unused,unused,unused,unused
181212_LCA1_X_FP81A_20181213112045,carrier_mix,norm,unused,sc_m0,sc_m0,sc_0,sc_m0,sc_u,sc_m0,sc_m0,sc_u,unused,unused,unused,unused,unused
181212_LCA1_X_FP81B,carrier_mix,norm,unused,sc_u,sc_0,sc_m0,sc_m0,sc_u,sc_u,sc_m0,sc_m0,unused,unused,unused,unused,unused
181212_LCA1_X_FP81B_20181213125437,carrier_mix,norm,unused,sc_u,sc_0,sc_m0,sc_m0,sc_u,sc_u,sc_m0,sc_m0,unused,unused,unused,unused,unused
181212_LCA1_X_FP81C,carrier_mix,norm,unused,sc_u,sc_m0,sc_u,sc_m0,sc_m0,sc_u,sc_0,sc_u,unused,unused,unused,unused,unused
181212_LCA1_X_FP81C_20181213142828,carrier_mix,norm,unused,sc_u,sc_m0,sc_u,sc_m0,sc_m0,sc_u,sc_0,sc_u,unused,unused,unused,unused,unused
181212_LCA1_X_FP81D,carrier_mix,norm,unused,sc_m0,sc_m0,sc_u,sc_m0,sc_m0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
181212_LCA1_X_FP81E_2,carrier_mix,norm,unused,sc_u,sc_m0,sc_0,sc_u,sc_m0,sc_u,sc_u,sc_0,unused,unused,unused,unused,unused
181212_LCA1_X_FP81F_2,carrier_mix,norm,unused,sc_m0,sc_m0,sc_m0,sc_u,sc_m0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
181212_LCA1_X_FP81G_2,carrier_mix,norm,unused,sc_m0,sc_0,sc_u,sc_m0,sc_u,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
181212_LCA1_X_FP81H_2,carrier_mix,norm,unused,sc_u,sc_m0,sc_m0,sc_m0,sc_m0,sc_u,sc_m0,sc_m0,unused,unused,unused,unused,unused
181214_LCA1_X_FP81A,carrier_mix,norm,unused,sc_m0,sc_m0,sc_0,sc_m0,sc_u,sc_m0,sc_m0,sc_u,unused,unused,unused,unused,unused
181214_LCA1_X_FP81B,carrier_mix,norm,unused,sc_u,sc_0,sc_m0,sc_m0,sc_u,sc_u,sc_m0,sc_m0,unused,unused,unused,unused,unused
181214_LCA1_X_FP81C,carrier_mix,norm,unused,sc_u,sc_m0,sc_u,sc_m0,sc_m0,sc_u,sc_0,sc_u,unused,unused,unused,unused,unused
181216_LCA1_X_FP85A,carrier_mix,norm,unused,sc_m0,sc_u,sc_0,sc_m0,sc_m0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
181216_LCA1_X_FP85B,carrier_mix,norm,unused,sc_u,sc_m0,sc_m0,sc_u,sc_m0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
181216_LCA1_X_FP85C,carrier_mix,norm,unused,sc_m0,sc_m0,sc_m0,sc_m0,sc_u,sc_0,sc_m0,sc_m0,unused,unused,unused,unused,unused
181216_LCA1_X_FP85D,carrier_mix,norm,unused,sc_0,sc_u,sc_m0,sc_m0,sc_0,sc_m0,sc_u,sc_m0,unused,unused,unused,unused,unused
181216_LCA1_X_FP85E,carrier_mix,norm,unused,sc_m0,sc_u,sc_m0,sc_m0,sc_m0,sc_m0,sc_u,sc_0,unused,unused,unused,unused,unused
181216_LCA1_X_FP85F,carrier_mix,norm,unused,sc_m0,sc_0,sc_u,sc_m0,sc_0,sc_m0,sc_0,sc_m0,unused,unused,unused,unused,unused
181216_LCA1_X_FP85I,carrier_mix,norm,unused,sc_m0,sc_m0,sc_0,sc_0,sc_m0,sc_u,sc_m0,sc_m0,unused,unused,unused,unused,unused
181216_LCA1_X_FP85J,carrier_mix,norm,unused,sc_u,sc_u,sc_m0,sc_u,sc_m0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
181216_LCA1_X_FP85K,carrier_mix,norm,unused,sc_u,sc_0,sc_m0,sc_u,sc_m0,sc_0,sc_u,sc_u,unused,unused,unused,unused,unused
181216_LCA1_X_FP85L,carrier_mix,norm,unused,sc_m0,sc_m0,sc_m0,sc_u,sc_0,sc_u,sc_m0,sc_m0,unused,unused,unused,unused,unused
190112S_LCA4_X_FP91AA,carrier_mix,norm,unused,sc_m0,sc_m0,sc_m0,sc_m0,sc_0,sc_u,sc_0,sc_u,unused,unused,unused,unused,unused
190112S_LCA4_X_FP91AB,carrier_mix,norm,unused,sc_m0,sc_m0,sc_u,sc_u,sc_m0,sc_0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190112S_LCA4_X_FP91AC,carrier_mix,norm,unused,sc_u,sc_m0,sc_m0,sc_0,sc_m0,sc_m0,sc_m0,sc_u,unused,unused,unused,unused,unused
190112S_LCA4_X_FP91AD,carrier_mix,norm,unused,sc_m0,sc_u,sc_m0,sc_0,sc_m0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190112S_LCA4_X_FP91AE,carrier_mix,norm,unused,sc_u,sc_m0,sc_0,sc_m0,sc_m0,sc_m0,sc_u,sc_m0,unused,unused,unused,unused,unused
190118S_LCA4_X_FP91AA,carrier_mix,norm,unused,sc_m0,sc_m0,sc_m0,sc_m0,sc_0,sc_u,sc_0,sc_u,unused,unused,unused,unused,unused
190118S_LCA4_X_FP91AB,carrier_mix,norm,unused,sc_m0,sc_m0,sc_u,sc_u,sc_m0,sc_0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190118S_LCA4_X_FP91AC,carrier_mix,norm,unused,sc_u,sc_m0,sc_m0,sc_0,sc_m0,sc_m0,sc_m0,sc_u,unused,unused,unused,unused,unused
190118S_LCA4_X_FP91AD,carrier_mix,norm,unused,sc_m0,sc_u,sc_m0,sc_0,sc_m0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190118S_LCA4_X_FP91AE,carrier_mix,norm,unused,sc_u,sc_m0,sc_0,sc_m0,sc_m0,sc_m0,sc_u,sc_m0,unused,unused,unused,unused,unused
190118S_LCA4_X_FP91AF,carrier_mix,norm,unused,sc_m0,sc_m0,sc_m0,sc_m0,sc_u,sc_m0,sc_u,sc_m0,unused,unused,unused,unused,unused
190118S_LCA4_X_FP91AG,carrier_mix,norm,unused,sc_m0,sc_u,sc_m0,sc_m0,sc_m0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190118S_LCA4_X_FP91AH,carrier_mix,norm,unused,sc_m0,sc_m0,sc_m0,sc_u,sc_m0,sc_u,sc_m0,sc_u,unused,unused,unused,unused,unused
190118S_LCA4_X_FP91AI,carrier_mix,norm,unused,sc_m0,sc_m0,sc_m0,sc_u,sc_0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190118S_LCA4_X_FP91AJ,carrier_mix,norm,unused,sc_m0,sc_m0,sc_u,sc_m0,sc_m0,sc_0,sc_u,sc_0,unused,unused,unused,unused,unused
