Set,RI1,RI2,RI3,RI4,RI5,RI6,RI7,RI8,RI9,RI10,RI11,RI12,RI13,RI14,RI15,RI16
190125S_LCA4_X_FP81AB,carrier_mix,norm,unused,sc_m0,sc_u,sc_u,sc_m0,sc_u,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190125S_LCA4_X_FP81AC,carrier_mix,norm,unused,sc_0,sc_u,sc_m0,sc_m0,sc_0,sc_u,sc_m0,sc_m0,unused,unused,unused,unused,unused
190125S_LCA4_X_FP81AD,carrier_mix,norm,unused,sc_u,sc_m0,sc_m0,sc_0,sc_m0,sc_u,sc_m0,sc_m0,unused,unused,unused,unused,unused
190125S_LCA4_X_FP92AA,carrier_mix,norm,unused,sc_m0,sc_m0,sc_m0,sc_m0,sc_0,sc_u,sc_0,sc_u,unused,unused,unused,unused,unused
190125S_LCA4_X_FP92AI_acid,carrier_mix,norm,unused,sc_m0,sc_m0,sc_m0,sc_u,sc_0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190125S_LCA4_X_FP92AJ_acid,carrier_mix,norm,unused,sc_m0,sc_m0,sc_u,sc_m0,sc_m0,sc_0,sc_u,sc_0,unused,unused,unused,unused,unused
190125S_LCA4_X_FP92AK_acid,carrier_mix,norm,unused,sc_m0,sc_m0,sc_0,sc_m0,sc_m0,sc_u,sc_m0,sc_m0,unused,unused,unused,unused,unused
190125S_LCA4_X_FP92AL_acid,carrier_mix,norm,unused,sc_m0,sc_m0,sc_m0,sc_m0,sc_m0,sc_u,sc_m0,sc_m0,unused,unused,unused,unused,unused
190125S_LCA4_X_FP92AM_acid,carrier_mix,norm,unused,sc_m0,sc_0,sc_0,sc_u,sc_m0,sc_u,sc_m0,sc_u,unused,unused,unused,unused,unused
190125S_LCA4_X_FP92AN_acid,carrier_mix,norm,unused,sc_u,sc_m0,sc_m0,sc_u,sc_u,sc_0,sc_m0,sc_u,unused,unused,unused,unused,unused
190125S_LCA4_X_FP92AO_acid,carrier_mix,norm,unused,sc_0,sc_m0,sc_m0,sc_u,sc_u,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190125S_LCA4_X_FP92AP_acid,carrier_mix,norm,unused,sc_u,sc_m0,sc_m0,sc_u,sc_m0,sc_m0,sc_u,sc_m0,unused,unused,unused,unused,unused
190222S_LCA9_X_FP94_col19,u_10,u_10,u_10,u_10,u_10,m0_10,m0_10,m0_10,m0_10,m0_10,sc_0,unused,unused,unused,unused,unused
190222S_LCA9_X_FP94_col20,m0_10,m0_10,m0_10,m0_10,m0_10,u_10,u_10,u_10,u_10,u_10,sc_0,unused,unused,unused,unused,unused
190222S_LCA9_X_FP94_col21,u_100,u_100,u_100,u_100,u_100,m0_100,m0_100,m0_100,m0_100,m0_100,sc_0,unused,unused,unused,unused,unused
190222S_LCA9_X_FP94_col22,m0_100,m0_100,m0_100,m0_100,m0_100,u_100,u_100,u_100,u_100,u_100,sc_0,unused,unused,unused,unused,unused
190222S_LCA9_X_FP94_col23_1,u_1000,u_1000,unused,u_1000,unused,m0_1000,unused,m0_1000,unused,m0_1000,unused,unused,unused,unused,unused,unused
190222S_LCA9_X_FP94_col24,sc_0,u_1,u_1,u_2,u_2,u_5,u_5,u_10,u_10,u_100,sc_0,unused,unused,unused,unused,unused
190222S_LCA9_X_FP94AA,carrier_mix,norm,unused,sc_m0,sc_m0,sc_m0,sc_m0,sc_0,sc_u,sc_0,sc_u,unused,unused,unused,unused,unused
190222S_LCA9_X_FP94AB,carrier_mix,norm,unused,sc_m0,sc_m0,sc_u,sc_u,sc_m0,sc_0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190222S_LCA9_X_FP94AC,carrier_mix,norm,unused,sc_u,sc_m0,sc_m0,sc_0,sc_m0,sc_m0,sc_m0,sc_u,unused,unused,unused,unused,unused
190222S_LCA9_X_FP94AD,carrier_mix,norm,unused,sc_m0,sc_u,sc_m0,sc_0,sc_m0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190222S_LCA9_X_FP94AE,carrier_mix,norm,unused,sc_u,sc_m0,sc_0,sc_m0,sc_m0,sc_m0,sc_u,sc_m0,unused,unused,unused,unused,unused
190222S_LCA9_X_FP94AF,carrier_mix,norm,unused,sc_m0,sc_m0,sc_m0,sc_m0,sc_u,sc_m0,sc_u,sc_m0,unused,unused,unused,unused,unused
190222S_LCA9_X_FP94AG,carrier_mix,norm,unused,sc_m0,sc_u,sc_m0,sc_m0,sc_m0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190222S_LCA9_X_FP94AH,carrier_mix,norm,unused,sc_m0,sc_m0,sc_m0,sc_u,sc_m0,sc_u,sc_m0,sc_u,unused,unused,unused,unused,unused
190222S_LCA9_X_FP94AI,carrier_mix,norm,unused,sc_m0,sc_m0,sc_m0,sc_u,sc_0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190222S_LCA9_X_FP94AJ,carrier_mix,norm,unused,sc_m0,sc_m0,sc_u,sc_m0,sc_m0,sc_0,sc_u,sc_0,unused,unused,unused,unused,unused
190222S_LCA9_X_FP94AK,carrier_mix,norm,unused,sc_m0,sc_m0,sc_0,sc_m0,sc_m0,sc_u,sc_m0,sc_m0,unused,unused,unused,unused,unused
190222S_LCA9_X_FP94AL,carrier_mix,norm,unused,sc_m0,sc_m0,sc_m0,sc_m0,sc_m0,sc_u,sc_m0,sc_m0,unused,unused,unused,unused,unused
190222S_LCA9_X_FP94AM,carrier_mix,norm,unused,sc_m0,sc_0,sc_0,sc_u,sc_m0,sc_u,sc_m0,sc_u,unused,unused,unused,unused,unused
190222S_LCA9_X_FP94AN,carrier_mix,norm,unused,sc_u,sc_m0,sc_m0,sc_u,sc_u,sc_0,sc_m0,sc_u,unused,unused,unused,unused,unused
190222S_LCA9_X_FP94AO,carrier_mix,norm,unused,sc_0,sc_m0,sc_m0,sc_u,sc_u,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190222S_LCA9_X_FP94AP,carrier_mix,norm,unused,sc_u,sc_m0,sc_m0,sc_u,sc_m0,sc_m0,sc_u,sc_m0,unused,unused,unused,unused,unused
190222S_LCA9_X_FP94BA,carrier_mix,norm,unused,sc_m0,sc_m0,sc_0,sc_0,sc_u,sc_u,sc_u,sc_m0,unused,unused,unused,unused,unused
190222S_LCA9_X_FP94BB,carrier_mix,norm,unused,sc_m0,sc_u,sc_u,sc_m0,sc_u,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190222S_LCA9_X_FP94BC,carrier_mix,norm,unused,sc_0,sc_u,sc_m0,sc_m0,sc_0,sc_u,sc_m0,sc_m0,unused,unused,unused,unused,unused
190222S_LCA9_X_FP94BD,carrier_mix,norm,unused,sc_u,sc_m0,sc_m0,sc_0,sc_m0,sc_u,sc_m0,sc_m0,unused,unused,unused,unused,unused
190222S_LCA9_X_FP94BE,carrier_mix,norm,unused,sc_u,sc_m0,sc_u,sc_m0,sc_0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190222S_LCA9_X_FP94BF,carrier_mix,norm,unused,sc_m0,sc_0,sc_m0,sc_0,sc_m0,sc_m0,sc_0,sc_0,unused,unused,unused,unused,unused
190222S_LCA9_X_FP94BG,carrier_mix,norm,unused,sc_m0,sc_m0,sc_0,sc_m0,sc_m0,sc_m0,sc_m0,sc_u,unused,unused,unused,unused,unused
190222S_LCA9_X_FP94BH,carrier_mix,norm,unused,sc_m0,sc_u,sc_0,sc_u,sc_m0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190222S_LCA9_X_FP94BI,carrier_mix,norm,unused,sc_m0,sc_m0,sc_u,sc_u,sc_u,sc_m0,sc_m0,sc_u,unused,unused,unused,unused,unused
190222S_LCA9_X_FP94BJ,carrier_mix,norm,unused,sc_u,sc_m0,sc_m0,sc_u,sc_m0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190222S_LCA9_X_FP94BK,carrier_mix,norm,unused,sc_0,sc_m0,sc_m0,sc_u,sc_m0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190222S_LCA9_X_FP94BL,carrier_mix,norm,unused,sc_m0,sc_u,sc_m0,sc_0,sc_m0,sc_m0,sc_u,sc_u,unused,unused,unused,unused,unused
190222S_LCA9_X_FP94BM,carrier_mix,norm,unused,sc_u,sc_0,sc_u,sc_m0,sc_m0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190222S_LCA9_X_FP94BN,carrier_mix,norm,unused,sc_u,sc_0,sc_u,sc_m0,sc_m0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190222S_LCA9_X_FP94BO,carrier_mix,norm,unused,sc_m0,sc_u,sc_0,sc_m0,sc_m0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190222S_LCA9_X_FP94BP,carrier_mix,norm,unused,sc_m0,sc_m0,sc_0,sc_m0,sc_u,sc_u,sc_m0,sc_m0,unused,unused,unused,unused,unused
190304S_LCA9_X_FP95AA,carrier_mix,norm,unused,sc_m0,sc_m0,sc_m0,sc_m0,sc_0,sc_u,sc_0,sc_u,unused,unused,unused,unused,unused
190304S_LCA9_X_FP95AB,carrier_mix,norm,unused,sc_m0,sc_m0,sc_u,sc_u,sc_m0,sc_0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190304S_LCA9_X_FP95AC,carrier_mix,norm,unused,sc_u,sc_m0,sc_m0,sc_0,sc_m0,sc_m0,sc_m0,sc_u,unused,unused,unused,unused,unused
190304S_LCA9_X_FP95AD,carrier_mix,norm,unused,sc_m0,sc_u,sc_m0,sc_0,sc_m0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190304S_LCA9_X_FP95AE,carrier_mix,norm,unused,sc_u,sc_m0,sc_0,sc_m0,sc_m0,sc_m0,sc_u,sc_m0,unused,unused,unused,unused,unused
190304S_LCA9_X_FP95AF,carrier_mix,norm,unused,sc_m0,sc_m0,sc_m0,sc_m0,sc_u,sc_m0,sc_u,sc_m0,unused,unused,unused,unused,unused
190304S_LCA9_X_FP95AG,carrier_mix,norm,unused,sc_m0,sc_u,sc_m0,sc_m0,sc_m0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190304S_LCA9_X_FP95AH,carrier_mix,norm,unused,sc_m0,sc_m0,sc_m0,sc_u,sc_m0,sc_u,sc_m0,sc_u,unused,unused,unused,unused,unused
190304S_LCA9_X_FP95AI,carrier_mix,norm,unused,sc_m0,sc_m0,sc_m0,sc_u,sc_0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190304S_LCA9_X_FP95AJ,carrier_mix,norm,unused,sc_m0,sc_m0,sc_u,sc_m0,sc_m0,sc_0,sc_u,sc_0,unused,unused,unused,unused,unused
190304S_LCA9_X_FP95AK,carrier_mix,norm,unused,sc_m0,sc_m0,sc_0,sc_m0,sc_m0,sc_u,sc_m0,sc_m0,unused,unused,unused,unused,unused
190304S_LCA9_X_FP95AL,carrier_mix,norm,unused,sc_m0,sc_m0,sc_m0,sc_m0,sc_m0,sc_u,sc_m0,sc_m0,unused,unused,unused,unused,unused
190304S_LCA9_X_FP95AM,carrier_mix,norm,unused,sc_m0,sc_0,sc_0,sc_u,sc_m0,sc_u,sc_m0,sc_u,unused,unused,unused,unused,unused
190304S_LCA9_X_FP95AN,carrier_mix,norm,unused,sc_u,sc_m0,sc_m0,sc_u,sc_u,sc_0,sc_m0,sc_u,unused,unused,unused,unused,unused
190304S_LCA9_X_FP95AO,carrier_mix,norm,unused,sc_0,sc_m0,sc_m0,sc_u,sc_u,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190304S_LCA9_X_FP95AP,carrier_mix,norm,unused,sc_u,sc_m0,sc_m0,sc_u,sc_m0,sc_m0,sc_u,sc_m0,unused,unused,unused,unused,unused
190304S_LCA9_X_FP95BA,carrier_mix,norm,unused,sc_m0,sc_m0,sc_0,sc_0,sc_u,sc_u,sc_u,sc_m0,unused,unused,unused,unused,unused
190315S_LCA10_X_FP95BC,carrier_mix,norm,unused,sc_0,sc_u,sc_m0,sc_m0,sc_0,sc_u,sc_m0,sc_m0,unused,unused,unused,unused,unused
190304S_LCA9_X_FP95BD,carrier_mix,norm,unused,sc_u,sc_m0,sc_m0,sc_0,sc_m0,sc_u,sc_m0,sc_m0,unused,unused,unused,unused,unused
190304S_LCA9_X_FP95BE,carrier_mix,norm,unused,sc_u,sc_m0,sc_u,sc_m0,sc_0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190304S_LCA9_X_FP95BF,carrier_mix,norm,unused,sc_m0,sc_0,sc_m0,sc_0,sc_m0,sc_m0,sc_0,sc_0,unused,unused,unused,unused,unused
190304S_LCA9_X_FP95BG,carrier_mix,norm,unused,sc_m0,sc_m0,sc_0,sc_m0,sc_m0,sc_m0,sc_m0,sc_u,unused,unused,unused,unused,unused
190304S_LCA9_X_FP95BH,carrier_mix,norm,unused,sc_m0,sc_u,sc_0,sc_u,sc_m0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190304S_LCA9_X_FP95BI,carrier_mix,norm,unused,sc_m0,sc_m0,sc_u,sc_u,sc_u,sc_m0,sc_m0,sc_u,unused,unused,unused,unused,unused
190306S_LCA9_X_FP95BI,carrier_mix,norm,unused,sc_m0,sc_m0,sc_u,sc_u,sc_u,sc_m0,sc_m0,sc_u,unused,unused,unused,unused,unused
190315S_LCA10_X_FP95BI,carrier_mix,norm,unused,sc_m0,sc_m0,sc_u,sc_u,sc_u,sc_m0,sc_m0,sc_u,unused,unused,unused,unused,unused
190304S_LCA9_X_FP95BJ,carrier_mix,norm,unused,sc_u,sc_m0,sc_m0,sc_u,sc_m0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190304S_LCA9_X_FP95BK,carrier_mix,norm,unused,sc_0,sc_m0,sc_m0,sc_u,sc_m0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190304S_LCA9_X_FP95BL,carrier_mix,norm,unused,sc_m0,sc_u,sc_m0,sc_0,sc_m0,sc_m0,sc_u,sc_u,unused,unused,unused,unused,unused
190304S_LCA9_X_FP95BM,carrier_mix,norm,unused,sc_u,sc_0,sc_u,sc_m0,sc_m0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190304S_LCA9_X_FP95BN,carrier_mix,norm,unused,sc_u,sc_0,sc_u,sc_m0,sc_m0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190304S_LCA9_X_FP95BO,carrier_mix,norm,unused,sc_m0,sc_u,sc_0,sc_m0,sc_m0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190304S_LCA9_X_FP95BP,carrier_mix,norm,unused,sc_m0,sc_m0,sc_0,sc_m0,sc_u,sc_u,sc_m0,sc_m0,unused,unused,unused,unused,unused
190306S_LCA9_X_FP95AB,carrier_mix,norm,unused,sc_m0,sc_m0,sc_u,sc_u,sc_m0,sc_0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190306S_LCA9_X_FP95AH,carrier_mix,norm,unused,sc_m0,sc_m0,sc_m0,sc_u,sc_0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190228S_LCA9_X_FP95_col19,u_10,u_10,u_10,u_10,u_10,m0_10,m0_10,m0_10,m0_10,m0_10,sc_0,unused,unused,unused,unused,unused
190228S_LCA9_X_FP95_col20,m0_10,m0_10,m0_10,m0_10,m0_10,u_10,u_10,u_10,u_10,u_10,sc_0,unused,unused,unused,unused,unused
190228S_LCA9_X_FP95_col21,u_100,u_100,u_100,u_100,u_100,m0_100,m0_100,m0_100,m0_100,m0_100,sc_0,unused,unused,unused,unused,unused
190228S_LCA9_X_FP95_col22,m0_100,m0_100,m0_100,m0_100,m0_100,u_100,u_100,u_100,u_100,u_100,sc_0,unused,unused,unused,unused,unused
190315S_LCA10_X_FP95_col23_1,u_1000,u_1000,unused,u_1000,unused,m0_1000,unused,m0_1000,unused,m0_1000,unused,unused,unused,unused,unused,unused
190315S_LCA10_X_FP95_col23_2,u_1000,u_1000,unused,u_1000,unused,m0_1000,unused,m0_1000,unused,m0_1000,unused,unused,unused,unused,unused,unused
190318S_LCA10_X_FP95_col23_3,u_1000,u_1000,unused,u_1000,unused,m0_1000,unused,m0_1000,unused,m0_1000,unused,unused,unused,unused,unused,unused
190321S_LCA10_X_FP95_col23_4,u_1000,u_1000,unused,u_1000,unused,m0_1000,unused,m0_1000,unused,m0_1000,unused,unused,unused,unused,unused,unused
190228S_LCA9_X_FP95_col24,sc_0,u_1,u_1,u_2,u_2,u_5,u_5,u_10,u_10,u_100,sc_0,unused,unused,unused,unused,unused
190318S_LCA10_X_FP96AA,carrier_mix,norm,unused,sc_m0,sc_m0,sc_m0,sc_m0,sc_0,sc_u,sc_0,sc_u,unused,unused,unused,unused,unused
190318S_LCA10_X_FP96AB,carrier_mix,norm,unused,sc_m0,sc_m0,sc_u,sc_u,sc_m0,sc_0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190318S_LCA10_X_FP96AC,carrier_mix,norm,unused,sc_u,sc_m0,sc_m0,sc_0,sc_m0,sc_m0,sc_m0,sc_u,unused,unused,unused,unused,unused
190318S_LCA10_X_FP96AD,carrier_mix,norm,unused,sc_m0,sc_u,sc_m0,sc_0,sc_m0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190318S_LCA10_X_FP96AE,carrier_mix,norm,unused,sc_u,sc_m0,sc_0,sc_m0,sc_m0,sc_m0,sc_u,sc_m0,unused,unused,unused,unused,unused
190318S_LCA10_X_FP96AF,carrier_mix,norm,unused,sc_m0,sc_m0,sc_m0,sc_m0,sc_u,sc_m0,sc_u,sc_m0,unused,unused,unused,unused,unused
190318S_LCA10_X_FP96AG,carrier_mix,norm,unused,sc_m0,sc_u,sc_m0,sc_m0,sc_m0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190318S_LCA10_X_FP96AH,carrier_mix,norm,unused,sc_m0,sc_m0,sc_m0,sc_u,sc_m0,sc_u,sc_m0,sc_u,unused,unused,unused,unused,unused
190318S_LCA10_X_FP96AI,carrier_mix,norm,unused,sc_m0,sc_m0,sc_m0,sc_u,sc_0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190318S_LCA10_X_FP96AJ,carrier_mix,norm,unused,sc_m0,sc_m0,sc_u,sc_m0,sc_m0,sc_0,sc_u,sc_0,unused,unused,unused,unused,unused
190318S_LCA10_X_FP96AK,carrier_mix,norm,unused,sc_m0,sc_m0,sc_0,sc_m0,sc_m0,sc_u,sc_m0,sc_m0,unused,unused,unused,unused,unused
190318S_LCA10_X_FP96AL,carrier_mix,norm,unused,sc_m0,sc_m0,sc_m0,sc_m0,sc_m0,sc_u,sc_m0,sc_m0,unused,unused,unused,unused,unused
190318S_LCA10_X_FP96AM,carrier_mix,norm,unused,sc_m0,sc_0,sc_0,sc_u,sc_m0,sc_u,sc_m0,sc_u,unused,unused,unused,unused,unused
190318S_LCA10_X_FP96AN,carrier_mix,norm,unused,sc_u,sc_m0,sc_m0,sc_u,sc_u,sc_0,sc_m0,sc_u,unused,unused,unused,unused,unused
190318S_LCA10_X_FP96AO,carrier_mix,norm,unused,sc_0,sc_m0,sc_m0,sc_u,sc_u,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190318S_LCA10_X_FP96AP,carrier_mix,norm,unused,sc_u,sc_m0,sc_m0,sc_u,sc_m0,sc_m0,sc_u,sc_m0,unused,unused,unused,unused,unused
190319S_LCA10_X_FP96BA,carrier_mix,norm,unused,sc_m0,sc_m0,sc_0,sc_0,sc_u,sc_u,sc_u,sc_m0,unused,unused,unused,unused,unused
190319S_LCA10_X_FP96BB,carrier_mix,norm,unused,sc_m0,sc_u,sc_u,sc_m0,sc_u,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190319S_LCA10_X_FP96BC,carrier_mix,norm,unused,sc_0,sc_u,sc_m0,sc_m0,sc_0,sc_u,sc_m0,sc_m0,unused,unused,unused,unused,unused
190319S_LCA10_X_FP96BD,carrier_mix,norm,unused,sc_u,sc_m0,sc_m0,sc_0,sc_m0,sc_u,sc_m0,sc_m0,unused,unused,unused,unused,unused
190319S_LCA10_X_FP96BE,carrier_mix,norm,unused,sc_u,sc_m0,sc_u,sc_m0,sc_0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190319S_LCA10_X_FP96BF,carrier_mix,norm,unused,sc_m0,sc_0,sc_m0,sc_0,sc_m0,sc_m0,sc_0,sc_0,unused,unused,unused,unused,unused
190319S_LCA10_X_FP96BG,carrier_mix,norm,unused,sc_m0,sc_m0,sc_0,sc_m0,sc_m0,sc_m0,sc_m0,sc_u,unused,unused,unused,unused,unused
190319S_LCA10_X_FP96BH,carrier_mix,norm,unused,sc_m0,sc_u,sc_0,sc_u,sc_m0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190319S_LCA10_X_FP96BI,carrier_mix,norm,unused,sc_m0,sc_m0,sc_u,sc_u,sc_u,sc_m0,sc_m0,sc_u,unused,unused,unused,unused,unused
190319S_LCA10_X_FP96BJ,carrier_mix,norm,unused,sc_u,sc_m0,sc_m0,sc_u,sc_m0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190319S_LCA10_X_FP96BK,carrier_mix,norm,unused,sc_0,sc_m0,sc_m0,sc_u,sc_m0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190319S_LCA10_X_FP96BL,carrier_mix,norm,unused,sc_m0,sc_u,sc_m0,sc_0,sc_m0,sc_m0,sc_u,sc_u,unused,unused,unused,unused,unused
190319S_LCA10_X_FP96BM,carrier_mix,norm,unused,sc_u,sc_0,sc_u,sc_m0,sc_m0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190319S_LCA10_X_FP96BN,carrier_mix,norm,unused,sc_u,sc_0,sc_u,sc_m0,sc_m0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190319S_LCA10_X_FP96BO,carrier_mix,norm,unused,sc_m0,sc_u,sc_0,sc_m0,sc_m0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190319S_LCA10_X_FP96BP,carrier_mix,norm,unused,sc_m0,sc_m0,sc_0,sc_m0,sc_u,sc_u,sc_m0,sc_m0,unused,unused,unused,unused,unused
190315S_LCA10_X_FP96_col19,u_10,u_10,u_10,u_10,u_10,m0_10,m0_10,m0_10,m0_10,m0_10,sc_0,unused,unused,unused,unused,unused
190315S_LCA10_X_FP96_col20,m0_10,m0_10,m0_10,m0_10,m0_10,u_10,u_10,u_10,u_10,u_10,sc_0,unused,unused,unused,unused,unused
190315S_LCA10_X_FP96_col21,u_100,u_100,u_100,u_100,u_100,m0_100,m0_100,m0_100,m0_100,m0_100,sc_0,unused,unused,unused,unused,unused
190315S_LCA10_X_FP96_col22,m0_100,m0_100,m0_100,m0_100,m0_100,u_100,u_100,u_100,u_100,u_100,sc_0,unused,unused,unused,unused,unused
190315S_LCA10_X_FP96_col24,sc_0,u_1,u_1,u_2,u_2,u_5,u_5,u_10,u_10,u_100,sc_0,unused,unused,unused,unused,unused
190321S_LCA10_X_FP97AA,carrier_mix,norm,unused,sc_m0,sc_m0,sc_m0,sc_m0,sc_0,sc_u,sc_0,sc_u,unused,unused,unused,unused,unused
190321S_LCA10_X_FP97AB,carrier_mix,norm,unused,sc_m0,sc_m0,sc_u,sc_u,sc_m0,sc_0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190321S_LCA10_X_FP97AC,carrier_mix,norm,unused,sc_u,sc_m0,sc_m0,sc_0,sc_m0,sc_m0,sc_m0,sc_u,unused,unused,unused,unused,unused
190321S_LCA10_X_FP97AD,carrier_mix,norm,unused,sc_m0,sc_u,sc_m0,sc_0,sc_m0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190321S_LCA10_X_FP97AE,carrier_mix,norm,unused,sc_u,sc_m0,sc_0,sc_m0,sc_m0,sc_m0,sc_u,sc_m0,unused,unused,unused,unused,unused
190321S_LCA10_X_FP97AF,carrier_mix,norm,unused,sc_m0,sc_m0,sc_m0,sc_m0,sc_u,sc_m0,sc_u,sc_m0,unused,unused,unused,unused,unused
190321S_LCA10_X_FP97AG,carrier_mix,norm,unused,sc_m0,sc_u,sc_m0,sc_m0,sc_m0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190321S_LCA10_X_FP97AH,carrier_mix,norm,unused,sc_m0,sc_m0,sc_m0,sc_u,sc_m0,sc_u,sc_m0,sc_u,unused,unused,unused,unused,unused
190321S_LCA10_X_FP97AI,carrier_mix,norm,unused,sc_m0,sc_m0,sc_m0,sc_u,sc_0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190321S_LCA10_X_FP97AJ,carrier_mix,norm,unused,sc_m0,sc_m0,sc_u,sc_m0,sc_m0,sc_0,sc_u,sc_0,unused,unused,unused,unused,unused
190321S_LCA10_X_FP97AK,carrier_mix,norm,unused,sc_m0,sc_m0,sc_0,sc_m0,sc_m0,sc_u,sc_m0,sc_m0,unused,unused,unused,unused,unused
190321S_LCA10_X_FP97AL,carrier_mix,norm,unused,sc_m0,sc_m0,sc_m0,sc_m0,sc_m0,sc_u,sc_m0,sc_m0,unused,unused,unused,unused,unused
190321S_LCA10_X_FP97AM,carrier_mix,norm,unused,sc_m0,sc_0,sc_0,sc_u,sc_m0,sc_u,sc_m0,sc_u,unused,unused,unused,unused,unused
190321S_LCA10_X_FP97AN,carrier_mix,norm,unused,sc_u,sc_m0,sc_m0,sc_u,sc_u,sc_0,sc_m0,sc_u,unused,unused,unused,unused,unused
190321S_LCA10_X_FP97AO,carrier_mix,norm,unused,sc_0,sc_m0,sc_m0,sc_u,sc_u,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190321S_LCA10_X_FP97AP,carrier_mix,norm,unused,sc_u,sc_m0,sc_m0,sc_u,sc_m0,sc_m0,sc_u,sc_m0,unused,unused,unused,unused,unused
190321S_LCA10_X_FP97BA,carrier_mix,norm,unused,sc_m0,sc_m0,sc_0,sc_0,sc_u,sc_u,sc_u,sc_m0,unused,unused,unused,unused,unused
190321S_LCA10_X_FP97BB,carrier_mix,norm,unused,sc_m0,sc_u,sc_u,sc_m0,sc_u,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190321S_LCA10_X_FP97BC,carrier_mix,norm,unused,sc_0,sc_u,sc_m0,sc_m0,sc_0,sc_u,sc_m0,sc_m0,unused,unused,unused,unused,unused
190321S_LCA10_X_FP97BD,carrier_mix,norm,unused,sc_u,sc_m0,sc_m0,sc_0,sc_m0,sc_u,sc_m0,sc_m0,unused,unused,unused,unused,unused
190321S_LCA10_X_FP97BE,carrier_mix,norm,unused,sc_u,sc_m0,sc_u,sc_m0,sc_0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190321S_LCA10_X_FP97BF,carrier_mix,norm,unused,sc_m0,sc_0,sc_m0,sc_0,sc_m0,sc_m0,sc_0,sc_0,unused,unused,unused,unused,unused
190321S_LCA10_X_FP97BG,carrier_mix,norm,unused,sc_m0,sc_m0,sc_0,sc_m0,sc_m0,sc_m0,sc_m0,sc_u,unused,unused,unused,unused,unused
190321S_LCA10_X_FP97BH,carrier_mix,norm,unused,sc_m0,sc_u,sc_0,sc_u,sc_m0,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
190321S_LCA10_X_FP97BI,carrier_mix,norm,unused,sc_m0,sc_m0,sc_u,sc_u,sc_u,sc_m0,sc_m0,sc_u,unused,unused,unused,unused,unused
